numero_arrete,titre,autorite_responsable,signataire,date_publication,date_signature,poids_pdf_ko,concerne_circulation,concerne_stationnement,est_temporaire,explnum_id,pdf_s3_url,date_scrape
2025 T 17893,"Arrêté n° 2025 T 17893 modifiant, à titre provisoire, les règles de la circulation générale avenue Ernest Renan, à Paris 15e.",Direction de la Voirie et des Déplacements,Morgane SANCHEZ,24/10/2025,21/10/2025,103,True,True,True,44403,s3://parisarretes/arretes/2025/2025_T_17893_d46a9076.pdf,2025-10-25T08:15:55.537771
2025 T 17831,"Arrêté n° 2025 T 17831 modifiant, à titre provisoire, les règles de la circulation générale rue de l'Arrivée, à Paris 15e (additif de l'arrêté municipal n° 2025 T 16451 du 4 septembre 2025).",Direction de la Voirie et des Déplacements,Morgane SANCHEZ,24/10/2025,20/10/2025,51,True,True,True,44408,s3://parisarretes/arretes/2025/2025_T_17831_ec84fe30.pdf,2025-10-25T08:15:55.535561
2025 T 17814,"Arrêté n° 2025 T 17814 modifiant, à titre provisoire, les règles de stationnement rue Le Marois, à Paris 16e.",Direction de la Voirie et des Déplacements,Morgane SANCHEZ,24/10/2025,20/10/2025,50,False,True,True,44404,s3://parisarretes/arretes/2025/2025_T_17814_9e3ab0be.pdf,2025-10-25T08:15:55.537300
2025 T 17841,"Arrêté n° 2025 T 17841 modifiant, à titre provisoire les règles du stationnement, rue Bosio, à Paris 16e.",Direction de la Voirie et des Déplacements,Morgane SANCHEZ,24/10/2025,20/10/2025,51,False,True,True,44409,s3://parisarretes/arretes/2025/2025_T_17841_bc9062cc.pdf,2025-10-25T08:15:55.534417
2025 T 17818,"Arrêté n° 2025 T 17818 modifiant, à titre provisoire, les règles de stationnement rue de l'Église, à Paris 15e (additif de l'arrêté n° 2025 T 16214, du 25 août 2025).",Direction de la Voirie et des Déplacements,Morgane SANCHEZ,24/10/2025,20/10/2025,106,False,True,True,44402,s3://parisarretes/arretes/2025/2025_T_17818_ef9961fa.pdf,2025-10-25T08:15:55.538227
2025 T 17813,"Arrêté n° 2025 T 17813 modifiant, à titre provisoire, les règles de la circulation générale et de stationnement rue Olivier de Serres, à Paris 15e.",Direction de la Voirie et des Déplacements,Morgane SANCHEZ,24/10/2025,20/10/2025,52,True,True,True,44401,s3://parisarretes/arretes/2025/2025_T_17813_6c550109.pdf,2025-10-25T08:15:55.538777
2025 T 17801,"Arrêté n° 2025 T 17801 modifiant, à titre provisoire, les règles de stationnement rue George Sand, à Paris 16e.",Direction de la Voirie et des Déplacements,Morgane SANCHEZ,24/10/2025,17/10/2025,51,False,True,True,44400,s3://parisarretes/arretes/2025/2025_T_17801_8ccc016e.pdf,2025-10-25T08:15:55.539253
2025 T 17443,"Arrêté n° 2025 T 17443 modifiant, à titre provisoire, la règle de la circulation générale rue de Richelieu et Saint-Augustin, à Paris 2e.",Direction de la Voirie et des Déplacements,Lalia OUTMEZAB,24/10/2025,17/10/2025,136,True,True,True,44399,s3://parisarretes/arretes/2025/2025_T_17443_8a5d0bd6.pdf,2025-10-25T08:16:21.804814
2025 T 17811,"Arrêté n° 2025 T 17811 modifiant, à titre provisoire, la règle du stationnement rue du Ruisseau, à Paris 18e.",Direction de la Voirie et des Déplacements,Frédéric GAUTHERON,23/10/2025,20/10/2025,103,False,True,True,44394,s3://parisarretes/arretes/2025/2025_T_17811_4de2b635.pdf,2025-10-25T08:16:21.806686
2025 E 17917,"Arrêté n° 2025 E 17917 modifiant, à titre provisoire, les règles de circulation rue de la Présentation, à Paris 11e.",Direction de la Voirie et des Déplacements,Tanguy ADAM,24/10/2025,22/10/2025,49,True,True,True,44397,s3://parisarretes/arretes/2025/2025_E_17917_f4a991b4.pdf,2025-10-25T08:16:21.805321
2025 T 17901,"Arrêté n° 2025 T 17901 modifiant, à titre provisoire, les règles de la circulation générale et du stationnement boulevard de Clichy et Villa de Guelma, à Paris 18e.",Direction de la Voirie et des Déplacements,Frédéric GAUTHERON,23/10/2025,22/10/2025,105,True,True,True,44396,s3://parisarretes/arretes/2025/2025_T_17901_9c6317fb.pdf,2025-10-25T08:16:21.805793
2025 T 17880,"Arrêté n° 2025 T 17880 modifiant, à titre provisoire, les règles de stationnement et de circulation générale rue du Faubourg Saint-Antoine, à Paris 12e.",Direction de la Voirie et des Déplacements,Jérôme GUILLARD,23/10/2025,22/10/2025,50,True,True,True,44395,s3://parisarretes/arretes/2025/2025_T_17880_f5f8324b.pdf,2025-10-25T08:16:21.806243
2025 T 17856,"Arrêté n° 2025 T 17856 modifiant, à titre provisoire, la règle de stationnement rue Meissonier, à Paris 17e.",Direction de la Voirie et des Déplacements,Frédéric GAUTHERON,23/10/2025,21/10/2025,104,False,True,True,44391,s3://parisarretes/arretes/2025/2025_T_17856_346e3a84.pdf,2025-10-25T08:16:21.808666
2025 T 17867,"Arrêté n° 2025 T 17867 modifiant, à titre provisoire, la règle de stationnement boulevard des Batignolles, à Paris 17e.",Direction de la Voirie et des Déplacements,Frédéric GAUTHERON,23/10/2025,21/10/2025,104,False,True,True,44392,s3://parisarretes/arretes/2025/2025_T_17867_877d5f40.pdf,2025-10-25T08:16:21.808211
2025 T 17787,"Arrêté n° 2025 T 17787 modifiant, à titre provisoire, la règle du stationnement rue Muller, à Paris 18e.",Direction de la Voirie et des Déplacements,Frédéric GAUTHERON,23/10/2025,17/10/2025,104,False,True,True,44393,s3://parisarretes/arretes/2025/2025_T_17787_1d8693a5.pdf,2025-10-25T08:16:21.807756
2025 T 17868,"Arrêté n° 2025 T 17868 modifiant, à titre provisoire, la règle de stationnement rue Louis Loucheur, à Paris 17e.",Direction de la Voirie et des Déplacements,Frédéric GAUTHERON,23/10/2025,21/10/2025,103,False,True,True,44390,s3://parisarretes/arretes/2025/2025_T_17868_996e8f15.pdf,2025-10-25T08:16:21.809134
2025 T 17840,"Arrêté n° 2025 T 17840 modifiant, à titre provisoire, les règles de la circulation générale et du stationnement rue de Courcelles, à Paris 17e.",Direction de la Voirie et des Déplacements,Frédéric GAUTHERON,23/10/2025,20/10/2025,106,True,True,True,44389,s3://parisarretes/arretes/2025/2025_T_17840_5de4946d.pdf,2025-10-25T08:16:21.809603
2025 T 17820,"Arrêté n° 2025 T 17820 modifiant, à titre provisoire, les règles de circulation place de la Bastille, à Paris 11e.",Direction de la Voirie et des Déplacements,Tanguy ADAM,23/10/2025,20/10/2025,102,True,True,True,44384,s3://parisarretes/arretes/2025/2025_T_17820_7dbfd1e1.pdf,2025-10-25T08:16:46.703293
2025 T 17887,"Arrêté n° 2025 T 17887 modifiant, à titre provisoire, les règles de stationnement rue Le Goff, à Paris 5e.",Direction de la Voirie et des Déplacements,Adrien RONDEAUX,23/10/2025,21/10/2025,102,False,True,True,44385,s3://parisarretes/arretes/2025/2025_T_17887_660178ea.pdf,2025-10-25T08:16:46.702823
2025 T 17826,"Arrêté n° 2025 T 17826 modifiant, à titre provisoire, les règles de circulation et de stationnement rue de Nemours, à Paris 11e.",Direction de la Voirie et des Déplacements,Tanguy ADAM,23/10/2025,20/10/2025,104,True,True,True,44386,s3://parisarretes/arretes/2025/2025_T_17826_0d774952.pdf,2025-10-25T08:16:46.701699
2025 T 17830,"Arrêté n° 2025 T 17830 modifiant, à titre provisoire, les règles de circulation et de stationnement avenue Jean Aicard et rue Oberkampf, à Paris 11e.",Direction de la Voirie et des Déplacements,Tanguy ADAM,23/10/2025,20/10/2025,105,True,True,True,44388,s3://parisarretes/arretes/2025/2025_T_17830_8d5bca6f.pdf,2025-10-25T08:16:46.700921
2025 T 17876,"Arrêté n° 2025 T 17876 modifiant, à titre provisoire, la règle de stationnement boulevard Pereire, à Paris 17e.",Direction de la Voirie et des Déplacements,Frédéric GAUTHERON,23/10/2025,21/10/2025,102,False,True,True,44387,s3://parisarretes/arretes/2025/2025_T_17876_860b298b.pdf,2025-10-25T08:16:46.701349
2025 T 17825,"Arrêté n° 2025 T 17825 modifiant à titre provisoire la règle du stationnement rue d’Edimbourg, à Paris 8e.",Direction de la Voirie et des Déplacements,Frédéric GAUTHERON,23/10/2025,20/10/2025,138,False,True,True,44380,s3://parisarretes/arretes/2025/2025_T_17825_fa9f3a11.pdf,2025-10-25T08:16:46.705149
2025 T 17889,"Arrêté n° 2025 T 17889 modifiant, à titre provisoire, les règles de stationnement rue du Puits de l'Ermite, à Paris 5e",Direction de la Voirie et des Déplacements,Adrien RONDEAUX,23/10/2025,21/10/2025,102,False,True,True,44383,s3://parisarretes/arretes/2025/2025_T_17889_6bd0e18c.pdf,2025-10-25T08:16:46.703791
2025 T 17744,"Arrêté n° 2025 T 17744 modifiant, à titre provisoire, les règles de la circulation générale et du stationnement rue La Condamine et rue Boursault, à Paris 17e.",Direction de la Voirie et des Déplacements,Frédéric GAUTHERON,23/10/2025,16/10/2025,106,True,True,True,44382,s3://parisarretes/arretes/2025/2025_T_17744_f8b28e3c.pdf,2025-10-25T08:16:46.704243
2025 T 17827,"Arrêté n° 2025 T 17827 modifiant, à titre provisoire, les règles de stationnement rue Bosquet, à Paris 7e.",Direction de la Voirie et des Déplacements,Adrien RONDEAUX,23/10/2025,20/10/2025,50,False,True,True,44379,s3://parisarretes/arretes/2025/2025_T_17827_663bf81d.pdf,2025-10-25T08:16:46.705596
2025 T 17895,"Arrêté n° 2025 T 17895 modifiant, à titre provisoire, les règles de stationnement rue de des Trois Couronnes, à Paris 11e.",Direction de la Voirie et des Déplacements,Tanguy ADAM,23/10/2025,22/10/2025,49,False,True,True,44381,s3://parisarretes/arretes/2025/2025_T_17895_b2ba4094.pdf,2025-10-25T08:16:46.704686
2025 T 17833,"Arrêté n° 2025 T 17833 modifiant, à titre provisoire, la règle du stationnement rue de Miromesnil, à Paris 8e.",Direction de la Voirie et des Déplacements,Frédéric GAUTHERON,23/10/2025,20/10/2025,103,False,True,True,44375,s3://parisarretes/arretes/2025/2025_T_17833_999977c3.pdf,2025-10-25T08:17:12.294628
2025 T 17829,"Arrêté n° 2025 T 17829 modifiant, à titre provisoire la règle du stationnement place Henri Bergson, à Paris 8e.",Direction de la Voirie et des Déplacements,Frédéric GAUTHERON,23/10/2025,20/10/2025,104,False,True,True,44377,s3://parisarretes/arretes/2025/2025_T_17829_5ec4b07d.pdf,2025-10-25T08:17:12.293658
2025 T 17711,"Arrêté n° 2025 T 17711 modifiant, à titre provisoire, les règles de stationnement et de circulation générale et des cycles rues de la Tombe Issoire, du Père Corentin et du Douanier Rousseau, à Paris 14e.",Direction de la Voirie et des Déplacements,Adrien RONDEAUX,23/10/2025,15/10/2025,61,True,True,True,44374,s3://parisarretes/arretes/2025/2025_T_17711_e20d3b93.pdf,2025-10-25T08:17:12.295945
2025 T 17816,"Arrêté n° 2025 T 17816 modifiant, à titre provisoire, les règles de la circulation générale et du stationnement rue de Messine et rue de Monceau, à Paris 8e.",Direction de la Voirie et des Déplacements,Frédéric GAUTHERON,23/10/2025,20/10/2025,106,True,True,True,44378,s3://parisarretes/arretes/2025/2025_T_17816_77dd8221.pdf,2025-10-25T08:17:12.293119
2025 T 17783,"Arrêté n° 2025 T 17783 modifiant, à titre provisoire, la règle du stationnement rue de l’Aqueduc, à Paris 10e.",Direction de la Voirie et des Déplacements,Lowell LACOU,23/10/2025,21/10/2025,134,False,True,True,44376,s3://parisarretes/arretes/2025/2025_T_17783_ad4d1109.pdf,2025-10-25T08:17:12.294174
2025 T 17835,"Arrêté n° 2025 T 17835 modifiant, à titre provisoire, les règles de stationnement avenue Frédéric le Play, à Paris 7e.",Direction de la Voirie et des Déplacements,Adrien RONDEAUX,23/10/2025,20/10/2025,49,False,True,True,44373,s3://parisarretes/arretes/2025/2025_T_17835_82272119.pdf,2025-10-25T08:17:12.296414
2025 T 17690,"Arrêté n° 2025 T 17690 modifiant, à titre provisoire, les règles de circulation générale et des cycles boulevard Brune, à Paris 14e.",Direction de la Voirie et des Déplacements,Adrien RONDEAUX,23/10/2025,15/10/2025,59,True,True,True,44372,s3://parisarretes/arretes/2025/2025_T_17690_8bce2643.pdf,2025-10-25T08:17:12.296864
2025 T 17842,"Arrêté n° 2025 T 17842 modifiant, à titre provisoire, la règle du stationnement rue du Faubourg Saint Honoré, à Paris 8e.",Direction de la Voirie et des Déplacements,Frédéric GAUTHERON,23/10/2025,20/10/2025,103,False,True,True,44371,s3://parisarretes/arretes/2025/2025_T_17842_23d57a3a.pdf,2025-10-25T08:17:12.297301
2025 T 17684,"Arrêté n° 2025 T 17684 modifiant, à titre provisoire, les règles de stationnement et de circulation des véhicules de transports en commun et des cycles boulevard Adolphe Pinard et avenue Denfert-Rochereau, à Paris 14e.",Direction de la Voirie et des Déplacements,Adrien RONDEAUX,23/10/2025,15/10/2025,63,True,True,True,44370,s3://parisarretes/arretes/2025/2025_T_17684_dc5f9490.pdf,2025-10-25T08:17:12.297778
2025 T 17860,"Arrêté n° 2025 T 17860 modifiant, à titre provisoire, les règles de stationnement avenue Parmentier, à Paris 11e.",Direction de la Voirie et des Déplacements,Tanguy ADAM,23/10/2025,21/10/2025,103,False,True,True,44369,s3://parisarretes/arretes/2025/2025_T_17860_a10275a7.pdf,2025-10-25T08:17:12.298233
2025 E 17836,"Arrêté n° 2025 E 17836 modifiant, à titre provisoire, les règles de stationnement et de circulation rues de Bazeilles, Censier et des Patriarches, à Paris 5e.",Direction de la Voirie et des Déplacements,Adrien RONDEAUX,23/10/2025,20/10/2025,59,True,True,True,44364,s3://parisarretes/arretes/2025/2025_E_17836_f53d5a2d.pdf,2025-10-25T08:17:39.350043
2025 T 17881,"Arrêté n° 2025 T 17881 modifiant, à titre provisoire, les règles de stationnement rue Neuve des Boulets, à Paris 11e.",Direction de la Voirie et des Déplacements,Tanguy ADAM,23/10/2025,21/10/2025,49,False,True,True,44367,s3://parisarretes/arretes/2025/2025_T_17881_2d7e45e1.pdf,2025-10-25T08:17:39.349209
2025 T 17891,"Arrêté n° 2025 T 17891 modifiant, à titre provisoire, les règles de stationnement rue du Cardinal Lemoine, à Paris 5e.",Direction de la Voirie et des Déplacements,Adrien RONDEAUX,23/10/2025,21/10/2025,101,False,True,True,44365,s3://parisarretes/arretes/2025/2025_T_17891_ef3570c6.pdf,2025-10-25T08:17:39.349778
2025 T 17616,"Arrêté n° 2025 T 17616 modifiant, à titre provisoire, les règles de circulation rue d'Arcueil, à Paris 14e.",Direction de la Voirie et des Déplacements,Adrien RONDEAUX,23/10/2025,13/10/2025,51,True,True,True,44366,s3://parisarretes/arretes/2025/2025_T_17616_fe1bcab3.pdf,2025-10-25T08:17:39.349477
2025 T 17681,"Arrêté n° 2025 T 17681 modifiant, à titre provisoire, les règles de circulation des véhicules de transports en commun rue de la Légion Etrangère, à Paris 14e.",Direction de la Voirie et des Déplacements,Adrien RONDEAUX,23/10/2025,15/10/2025,103,True,True,True,44368,s3://parisarretes/arretes/2025/2025_T_17681_3b1b87a2.pdf,2025-10-25T08:17:39.348763
2025 T 17405,"Arrêté n° 2025 T 17405 modifiant, à titre provisoire, les règles de stationnement gênant la circulation générale rue Rébeval, à Paris 19e.",Direction de la Voirie et des Déplacements,Tanguy ADAM,23/10/2025,21/10/2025,50,True,True,True,44363,s3://parisarretes/arretes/2025/2025_T_17405_d03b1232.pdf,2025-10-25T08:17:39.350312
2025 E 17782,"Arrêté n° 2025 E 17782 modifiant, à titre provisoire, les règles de stationnement et de circulation avenue de la République, avenue Parmentier, rue Jean Pierre Timbaud et autres voies, à Paris 11e.",Direction de la Voirie et des Déplacements,Tanguy ADAM,23/10/2025,21/10/2025,105,True,True,True,44362,s3://parisarretes/arretes/2025/2025_E_17782_d80bcb64.pdf,2025-10-25T08:17:39.350570
2025 T 17794,"Arrêté n° 2025 T 17794 modifiant, à titre provisoire, les règles de circulation rue Pelleport, à Paris 20e.",Direction de la Voirie et des Déplacements,Tanguy ADAM,22/10/2025,21/10/2025,49,True,True,True,44350,s3://parisarretes/arretes/2025/2025_T_17794_a26819b5.pdf,2025-10-25T08:17:39.350944
